POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location
SCHOOL #232 THOMAS JEFFERSON ELEM,604 DRYDEN DR,BALTIMORE,MD,21229,7,41,8,28-011,
SCHOOL #232 THOMAS JEFFERSON ELEM,605 DRYDEN DR,BALTIMORE,MD,21229,7,41,8,28-012,3
SCHOOL #233 ROLAND PARK MIDDLE,5207 ROLAND AVE,BALTIMORE,MD,21210,3,41,6,27-044,1
SCHOOL #235 GLENMOUNT ELEM/MID,6210 WALTHER AVE,BALTIMORE,MD,21206,2,45,2,27-007,
SCHOOL #235 GLENMOUNT ELEM/MID,6211 WALTHER AVE,BALTIMORE,MD,21206,2,45,2,27-008,2
SCHOOL #236  HAMILTON ELEM/MID,6101 OLD  HARFORD RD,BALTIMORE,MD,21214,7,45,3,27-014,1
SCHOOL #239 MASONVILLE COVE @ BEN FRANKLIN,1201 CAMBRIA ST,BALTIMORE,MD,21225,2,46,10,25-015,1
SCHOOL #240 GRACELAND PARK ELEM,6299 ODONNELL ST,BALTIMORE,MD,21224,2,46,1,26-002,
SCHOOL #240 GRACELAND PARK ELEM,6300 ODONNELL ST,BALTIMORE,MD,21224,2,46,1,26-003,2
SCHOOL #241 FALLSTAFF MIDDLE,3800 FALLSTAFF RD,BALTIMORE,MD,21215,3,41,5,27-067,
SCHOOL #241 FALLSTAFF MIDDLE,3801 FALLSTAFF RD,BALTIMORE,MD,21215,3,41,5,28-001,2
SCHOOL #242 NORTHWOOD ELEM,5198 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-022,
SCHOOL #242 NORTHWOOD ELEM,5199 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-023,
SCHOOL #242 NORTHWOOD ELEM,5200 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-024,
SCHOOL #242 NORTHWOOD ELEM,5201 LOCH RAVEN BLVD,BALTIMORE,MD,21239,7,43,3,27-030,4
