,LEG02 Precinct Name,,Voting District (VTD),VTD Type,Census Population,Total Population,Adjusted One Race Alone,Adjusted White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone ,Native Hawiian Other Pacific Islander Alone,Adjusted Some Other Race Alone ,Adjusted Two or More Races,Adjusted Hispanic or Latino (Of Any Race),Adjusted Total Person 18+
2407,24044 Baltimore City Precinct 15-019,,15-019,Adj,90,96,84,0,81,0,2,0,1,6,6,72
2407,24040 Baltimore City Precinct 15-020,,15-020,Adj,"3,249","3,296","3,133",251,"2,587",2,274,0,19,86,77,"2,776"
2407,24040 Baltimore City Precinct 15-021,,15-021,Adj,"1,460","1,481","1,409",30,"1,364",0,9,3,3,41,31,"1,211"
2407,24040 Baltimore City Precinct 15-022,,15-022,Adj,"1,193","1,225","1,171",52,"1,103",1,6,3,6,30,24,924
2407,24040 Baltimore City Precinct 15-023,,15-023,Adj,"2,345","2,381","2,277",102,"2,153",11,4,0,7,54,50,"1,943"
2407,24040 Baltimore City Precinct 15-024,,15-024,Adj,"2,373","2,417","2,295",35,"2,243",5,0,1,11,74,48,"1,837"
2407,24040 Baltimore City Precinct 15-025,,15-025,Adj,"1,004","1,019",938,81,844,4,2,0,7,38,43,881
2407,24044 Baltimore City Precinct 16-001,,16-001,Adj,961,989,949,27,905,0,4,1,12,15,25,745
2407,24040 Baltimore City Precinct 16-002,,16-002,Adj,"1,561","1,593","1,518",34,"1,467",0,12,0,5,40,35,"1,316"
2407,24044 Baltimore City Precinct 16-003,,16-003,Adj,978,"1,001",941,33,894,0,5,1,8,27,33,805
2407,24044 Baltimore City Precinct 16-004,,16-004,Adj,649,662,632,10,607,1,5,2,7,17,13,510
2407,24044 Baltimore City Precinct 16-005,,16-005,Adj,"2,020","2,073","1,988",58,"1,904",4,16,0,6,59,26,"1,686"
2407,24040 Baltimore City Precinct 16-006,,16-006,Adj,"2,089","2,124","2,044",16,"2,018",5,0,0,5,29,51,"1,702"
2407,24044 Baltimore City Precinct 16-007,,16-007,Adj,"1,635","1,662","1,587",20,"1,553",4,4,0,6,34,41,"1,264"
2407,24040 Baltimore City Precinct 16-008,,16-008,Adj,979,"1,000",967,8,953,2,4,0,0,16,17,775
2407,24040 Baltimore City Precinct 16-009,,16-009,Adj,"1,607","1,642","1,582",13,"1,554",6,1,0,8,46,14,"1,276"
2407,24040 Baltimore City Precinct 16-010,,16-010,Adj,"1,071","1,099","1,063",8,"1,046",1,0,0,8,23,13,837
2407,24040 Baltimore City Precinct 16-011,,16-011,Adj,978,"1,001",932,19,912,0,0,0,1,44,25,788
2407,24040 Baltimore City Precinct 16-012,,16-012,Adj,"2,259","2,313","2,197",25,"2,157",4,4,0,7,82,34,"1,693"
2407,24041 Baltimore City Precinct 16-013,,16-013,Adj,"1,995","2,051","1,980",23,"1,951",2,0,0,4,33,38,"1,537"
2407,24041 Baltimore City Precinct 16-014,,16-014,Adj,"3,642","3,691","3,509",52,"3,432",10,5,2,8,111,71,"2,910"
2407,24044 Baltimore City Precinct 17-001,,17-001,Adj,267,268,237,12,206,3,11,3,2,20,11,210
2407,24040 Baltimore City Precinct 17-002,,17-002,Adj,"3,916","3,984","3,729",271,"3,387",8,34,4,25,136,119,"3,103"
2407,24040 Baltimore City Precinct 18-001,,18-001,Adj,"1,707","1,743","1,662",23,"1,615",2,3,0,19,59,22,"1,209"
2407,24040 Baltimore City Precinct 18-002,,18-002,Adj,"2,286","2,310","2,062",478,"1,476",4,74,0,30,92,156,"1,877"
2407,24044 Baltimore City Precinct 19-001,,19-001,Adj,"1,626","1,661","1,532",53,"1,452",7,9,0,11,43,86,"1,294"
2407,24040 Baltimore City Precinct 19-002,,19-002,Adj,"3,275","3,332","2,694",791,"1,822",15,51,3,12,159,479,"2,497"
2407,24044 Baltimore City Precinct 19-003,,19-003,Adj,288,294,283,40,243,0,0,0,0,4,7,254
2407,24044 Baltimore City Precinct 20-001,,20-001,Adj,"1,791","1,840","1,769",28,"1,731",0,6,0,4,45,26,"1,442"
2407,24044 Baltimore City Precinct 20-002,,20-002,Adj,916,945,851,48,792,3,1,0,7,61,33,742
2407,24044 Baltimore City Precinct 20-003,,20-003,Adj,"2,100","2,150","2,032",67,"1,939",7,6,3,10,53,65,"1,677"
2407,24044 Baltimore City Precinct 20-004,,20-004,Adj,236,244,239,0,238,1,0,0,0,3,2,191
2407,24041 Baltimore City Precinct 20-005,,20-005,Adj,"1,241","1,261","1,145",35,"1,091",4,7,0,8,52,64,952
2407,24041 Baltimore City Precinct 20-006,,20-006,Adj,"3,354","3,421","3,326",43,"3,260",10,5,1,7,55,40,"2,700"
2407,24041 Baltimore City Precinct 20-007,,20-007,Adj,"2,712","2,759","2,593",137,"2,418",6,24,0,8,75,91,"2,184"
2407,24044 Baltimore City Precinct 20-008,,20-008,Adj,869,889,820,95,716,2,7,0,0,45,24,704
2407,24044 Baltimore City Precinct 20-009,,20-009,Adj,"1,018","1,034",873,410,430,3,25,0,5,59,102,803
2407,24040 Baltimore City Precinct 20-010,,20-010,Adj,902,913,800,179,582,7,30,0,2,40,73,677
2407,24040 Baltimore City Precinct 20-011,,20-011,Adj,"2,126","2,181","1,927",460,"1,419",8,27,0,13,101,153,"1,564"
2407,24040 Baltimore City Precinct 20-012,,20-012,Unadj,0,0,0,0,0,0,0,0,0,0,0,0
2403,24040 Baltimore City Precinct 21-001,,21-001,Adj,"1,148","1,149","1,034",648,205,0,168,0,13,48,67,"1,054"
2407,24040 Baltimore City Precinct 21-002,,21-002,Adj,"1,916","1,925","1,706",601,923,9,154,2,17,90,129,"1,663"
2403,24040 Baltimore City Precinct 21-003,,21-003,Adj,"2,566","2,607","2,306",709,"1,425",0,157,0,15,146,155,"2,071"
2403,24046 Baltimore City Precinct 21-004,,21-004,Adj,717,725,668,250,387,5,22,0,4,30,27,636
2403,24046 Baltimore City Precinct 21-005,,21-005,Unadj,11,11,7,6,0,1,0,0,0,0,4,10
