t Dist/Prec & Polling Place,,Polling Place Address,DEM,REP,GRN,LIB,UNA,OTHERS,TOTAL
t Type : CONGRESSIONAL DISTRICT,,,,,,,,,
ESSIONAL DISTRICT 2,,,,,,,,,
ELEM,"BALTIMORE, MD 21218",,,,,,,,
09010-ENGINE HOUSE #31,"3123 GREENMOUNT AVE,",972,46,9,1,118,2,,1148
,"BALTIMORE, MD 21218",,,,,,,,
09011-SCHOOL #31 COLDSTREAM PARK,"1400 EXETER HALL AVE,",253,14,0,0,29,0,,296
ELEM,"BALTIMORE, MD 21218",,,,,,,,
09012-COLDSTREAM RECREATION CENTER,"1401 FILLMORE ST,",1240,47,1,1,97,3,,1389
,"BALTIMORE, MD 21218",,,,,,,,
09013-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",460,19,2,1,35,2,,519
,"BALTIMORE, MD 21218",,,,,,,,
09014-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",1239,46,2,4,120,5,,1416
,"BALTIMORE, MD 21218",,,,,,,,
09015-DAWSON CENTER,"1400 E FEDERAL ST,",1422,53,4,6,133,6,,1624
,"BALTIMORE, MD 21213",,,,,,,,
10001-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",919,26,2,2,70,7,,1026
,"BALTIMORE, MD 21202",,,,,,,,
10002-NEW WATERS TOWER APARTMENTS,"1400 E MADISON ST,",1043,30,0,2,67,5,,1147
,"BALTIMORE, MD 21205",,,,,,,,
10003-LATROBE HOMES,"900 E MADISON ST,",437,26,4,1,62,5,,535
,"BALTIMORE, MD 21202",,,,,,,,
10004-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",498,27,1,0,48,1,,575
,"BALTIMORE, MD 21202",,,,,,,,
11001-CHASE HOUSE,"1027 CATHEDRAL ST,",944,95,14,9,236,6,,1304
,"BALTIMORE, MD 21201",,,,,,,,
11002-CHASE HOUSE,"1027 CATHEDRAL ST,",314,27,2,2,75,7,,427
,"BALTIMORE, MD 21201",,,,,,,,
11003-BROWN MEMORIAL CHURCH,"1316 PARK AVENUE,",1117,77,12,4,204,7,,1421
,"BALTIMORE, MD 21217",,,,,,,,
11004-SCHOOL #122 - SAMUEL,507 W PRESTON ST -,61,1,0,0,1,0,,63
COLERIDGE-TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,
